Skill ID,Skill Name,Created Date,Purpose,When to Use,Where to Use,How to Use,Input Requirements,Expected Output,Status,Version,Notes,Files
001,/start,2026/07/17,"A short, friendly walkthrough that explains how Claude, MCP, and skills fit together — the fastest way to get oriented if you're brand new.","Say things like “I'm new here,” “onboard me,” or “explain how this works” — or just ask when you're confused about MCP or skills.","Anywhere, for anyone starting out — developers, PMs, designers, support, sales, or data roles.","Type /start, or just say you're new — Claude will pick it up automatically.","Just answer two quick questions: your role, and whether you've used AI tools like this before. Nothing else needed.","A short interactive lesson, right in the chat. If you want, it can also save you a one-page cheat sheet and a completion summary — but only after you say yes. At the end, it'll also mention /new-joinee as an optional next step if you want deeper, role-specific onboarding.",Testing,Version 1.0,"Only ever writes files after you explicitly say okay, and only inside the onboarding-output/ folder — it won't touch anything else. Every comprehension check is now a quick click, not typing. If a prior session exists, it offers a refresher or a resume instead of always starting over — and if you run out of time or confidence mid-session, it saves your place to onboarding-output/onboarding-progress.md so you can pick up right where you left off.",
002,/new-joinee,2026/07/17,"A deeper, more thorough version of onboarding for people who are completely new to Claude Code or non-technical — it doesn't finish until you can work on your own. If you've already done /start, it can shortcut the basics and move straight to the deeper, role-specific material; if not, it works perfectly well on its own.","Say things like "I am new here," "this is my first task," or "I don't understand MCP" — use this one if Start feels too quick.","Formal onboarding for a new employee, especially before their first real task.","Type /new-joinee, optionally followed by your role or first task (e.g. /new-joinee support agent). (See the install guide below: needs to be saved to the right folder first.)","Your name, role, first assigned task, and whether you've used tools like this before. You'll also be asked to say yes before anything gets saved.","A full teaching session that ends with two short checks, plus a short list of specific skills recommended for your role. Pass both checks and you also get a completion certificate — everything saved under onboarding-output/.",Testing,Version 1.0,"Fixed: allowed-tools now includes Write (frontmatter can't scope Write by path, so the skill's own Guardrails restrict it to onboarding-output/ only, same pattern /start uses). The certificate and cheat-sheet templates are now inlined directly in Step 14 instead of linking to a templates/ folder that never existed. If you've already completed /start, it checks for that first and offers to shorten the basics recap instead of starting over.",
003,/skill-builder,2026/07/14,"Helps you create a brand-new Claude skill from scratch, or review and improve one that already exists.","Whenever you want to build a new skill, clean up an existing one, or aren't sure if a skill is set up well.",Anywhere skills are being written or maintained for this project.,"Type /skill-builder, or just say you want to create or improve a skill. It asks a short series of questions first before writing anything. (See the install guide below.)","Answers to a short back-and-forth: what the skill should do, what triggers it, and what it should never do. Skips questions you've already answered up front.","A new or improved skill file, following the project's standard quality checklist.",Testing,Version 1.0,"One thing to know: it links out to a file called reference.md, but in this repository that file is actually named reference_skill_builder.md, so the link doesn't resolve as written.",
004,/project-discovery,2026/07/20,"Gives you a guided, read-only tour of an unfamiliar project — what it's for, how it's organized, and what's safe to try first.","Ask for a tour, ask Claude to explain what's in a project, or say you want to understand a codebase before touching it.",The very start of working in any project you haven't seen before.,"Type /project-discovery, optionally with a folder path. (See the install guide below.)","Nothing required — just point it at a project, or let it use the current one.","A plain-language summary in chat: what the project does, its folders, what skills exist, what's connected, and one safe first step. It never creates any files.",Testing,Version 1.0,"Fixed: allowed-tools now scopes Bash to exactly the three commands the skill's own instructions describe (git status, git branch --show-current, git log --oneline -5) instead of granting unrestricted Bash — previously flagged as an inconsistency. Also now runs as a forked Explore subagent (context: fork) since it's self-contained and doesn't need conversation history.",
005,/existing-asset-finder,2026/07/16,Checks whether something similar already exists before you build it from scratch — saves you from accidentally duplicating work.,"Before creating any new file, report, script, dashboard, or skill — or any time you're not sure if this already exists somewhere.","Anywhere in this project, right before starting new work.",Type /existing-asset-finder followed by a short description of what you're about to build. (See the install guide below.),"A short description of the thing you're thinking of building — a name, a purpose, or even a rough idea is enough to start.","A short report recommending REUSE, EXTEND, MERGE, CREATE, or STOP, with the evidence behind that call.",Testing,Version 1.0,"It only looks, never touches anything — it won't create, change, or delete a single file, even if it recommends doing so. Acting on it is always up to you.",
006,/first-task-mapper,2026/07/21,"Turns a fuzzy, half-formed task (“I need to do X but I'm not sure how”) into a clear, honest plan — showing exactly what's confirmed and what's still a guess.",Whenever a request feels vague or you're not sure where to start — especially useful for your first few tasks in a new role.,"Right at the start of any unclear task, before you dive in.","Type /first-task-mapper followed by your task, or just describe it and answer the follow-up questions. (See the install guide below.)","A description of the task, then a short back-and-forth: the actual goal, where the data comes from, who reviews the result, and so on.","A clear one-page plan in chat, with every detail labelled Confirmed, Assumption, or Unknown, plus a readiness verdict. Saves to a file only if you ask.",Testing,Version 1.0,"Important: it only plans the work, it never does the task itself — and it won't guess at things like who should review the result; it marks those “not confirmed” instead. Every clarifying question is now a quick click, not typing (you can still type a custom answer via “Other”).",
007,/requirements-validator,2026/07/16,"Reviews a set of requirements or a project brief and flags anything missing, unclear, or contradictory before work starts on it.","Before development begins on a document, ticket, or brief that feels incomplete or ambiguous.",Any pre-development review of requirements or acceptance criteria.,"Type /requirements-validator followed by a file path, or paste the requirements directly. (See the install guide below.)","The requirements themselves — a file, a ticket, or pasted text. Background like business goals is optional but helpful.","A clear review in chat: what's missing, what's ambiguous, improved acceptance criteria, and any open questions still needing an answer.",Testing,Version 1.0,"Sticks strictly to what's actually written — it won't invent a requirement that isn't there, and won't rewrite your whole document unless that's genuinely needed for clarity.",
008,/markdown-document-formatter,2026/07/15,"Cleans up messy Markdown formatting — inconsistent headings, mismatched bullet styles, broken tables — without changing a word of your actual content.",Whenever a Markdown file looks messy or inconsistent and needs polishing before it's shared.,Any Markdown document that needs a formatting pass before review or publishing.,"Type /markdown-document-formatter followed by a file path, or paste the raw Markdown directly. (See the install guide below.)","A Markdown file path, or the raw Markdown text pasted in.","A cleaned-up copy saved next to the original (only after you confirm), named [original-name]-formatted.md, plus a short summary of exactly what was fixed.",Testing,Version 1.0,"Only fixes formatting and structure — never touches your original file, and never rewrites, shortens, or reworks your actual wording. Shows you the cleaned version and a summary of fixes first, and only saves it after you say okay.",
009,/meeting-note-summariser,2026/07/15,"Turns rough meeting notes into a clean, structured summary — attendees, decisions, action items with owners, and anything still unresolved.","Right after a meeting, whenever you need notes turned into something shareable.",Any post-meeting follow-up or decision tracking.,"Type /meeting-note-summariser followed by a topic or date, then paste in your notes (or give a file path). (See the install guide below.)","Your raw meeting notes, pasted in or as a file — a title or date is optional.",A tidy summary shown right in chat by default. It only saves a file if you specifically ask it to.,Testing,Version 1.0,"Never invents an attendee, decision, or deadline that wasn't actually in your notes — anything unclear is labelled “TBD” instead of guessed at.",
010,/customer-email-reply-drafter,2026/07/14,"Drafts a polite, on-brand reply to a customer email — about an order, a refund, a delivery issue, or a general question — for you to review before sending.",Whenever a customer email needs a reply drafted for you to check over.,"Customer support conversations, before a human sends the final reply.",Type /customer-email-reply-drafter and paste in the customer's email. (See the install guide below.),"The customer's email content — a name, order number, or issue type helps but isn't required.","A ready-to-review draft reply in plain text, with clear placeholders (like [insert tracking number]) anywhere information is missing.",Testing,Version 1.0,"Never invents order or refund details it doesn't have, and never sends the email itself — sending is always a human decision.",
